"id","address","code","name","nextbuses","lon","lat"
"1632","Pza. País Valenciá","802","Pza. País Valenciá","L1 - 16:41;L1 - 16:59#L12 - 16:37;L12 - 17:37",-0.041783,39.980564
"1633","Pza. Mª Agustina (Gobernador)","803","Pza. Mª Agustina (Gobernador)","L1 - 16:36;L1 - 16:54#L11 - 16:43;L11 - 17:12#L9 - 16:38;L9 - 16:53",-0.034112,39.987907
"1636","Pza. Fadrell ","806","Pza. Fadrell ","L1 - 16:39;L1 - 16:56#L4 - 16:51;L4 - 17:21#L8 - 17:49;L8 - 19:09",-0.036077,39.981743
"1654","Gobernador (Pza. Cardona Vives)","824","Gobernador (Pza. Cardona Vives)","L1 - 16:37;L1 - 16:54#L8 - 17:48;L8 - 19:08#L9 - 16:39;L9 - 16:54",-0.034401,39.985843
"1659","Av. Casalduch (Colegio Carmelitas)","829","Av. Casalduch (Colegio Carmelitas)","L1 - 16:40;L1 - 16:57#L8 - 17:50;L8 - 19:10",-0.038507,39.979697
